,Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
0,1,Agra,Achnera,Potato,Other,FAQ,300,400,365,31 Jan 2011
1,2,Agra,Achnera,Potato,Other,FAQ,300,400,370,30 Jan 2011
2,3,Agra,Achnera,Potato,Other,FAQ,300,400,380,29 Jan 2011
3,4,Agra,Achnera,Potato,Other,FAQ,300,400,375,28 Jan 2011
4,5,Agra,Achnera,Potato,Other,FAQ,300,390,360,26 Jan 2011
5,6,Agra,Achnera,Potato,Other,FAQ,300,390,390,25 Jan 2011
6,7,Agra,Achnera,Potato,Other,FAQ,300,400,380,24 Jan 2011
7,8,Agra,Achnera,Potato,Other,FAQ,300,390,360,23 Jan 2011
8,9,Agra,Achnera,Potato,Other,FAQ,300,400,380,22 Jan 2011
9,10,Agra,Achnera,Potato,Other,FAQ,300,400,360,21 Jan 2011
10,11,Agra,Achnera,Potato,Other,FAQ,300,400,370,19 Jan 2011
11,12,Agra,Achnera,Potato,Other,FAQ,300,400,360,18 Jan 2011
12,13,Agra,Achnera,Potato,Other,FAQ,300,400,380,17 Jan 2011
13,14,Agra,Achnera,Potato,Other,FAQ,300,400,380,16 Jan 2011
14,15,Agra,Achnera,Potato,Other,FAQ,300,400,380,15 Jan 2011
15,16,Agra,Achnera,Potato,Other,FAQ,300,400,360,14 Jan 2011
16,17,Agra,Achnera,Potato,Other,FAQ,300,400,370,12 Jan 2011
17,18,Agra,Achnera,Potato,Other,FAQ,300,390,360,11 Jan 2011
18,19,Agra,Achnera,Potato,Other,FAQ,300,390,360,10 Jan 2011
19,20,Agra,Achnera,Potato,Other,FAQ,300,400,325,09 Jan 2011
20,21,Agra,Achnera,Potato,Other,FAQ,320,390,360,07 Jan 2011
21,22,Agra,Achnera,Potato,Other,FAQ,300,390,380,06 Jan 2011
22,23,Agra,Achnera,Potato,Other,FAQ,300,390,370,05 Jan 2011
23,24,Agra,Achnera,Potato,Other,FAQ,320,400,380,04 Jan 2011
24,25,Agra,Achnera,Potato,Other,FAQ,350,410,380,03 Jan 2011
25,26,Agra,Achnera,Potato,Other,FAQ,300,400,360,02 Jan 2011
26,27,Agra,Achnera,Potato,Other,FAQ,320,400,370,01 Jan 2011
27,1,Agra,Agra,Potato,Other,FAQ,250,325,305,28 Jan 2011
28,2,Agra,Agra,Potato,Other,FAQ,275,325,310,27 Jan 2011
29,3,Agra,Agra,Potato,Other,FAQ,275,350,300,25 Jan 2011
30,4,Agra,Agra,Potato,Other,FAQ,250,325,310,24 Jan 2011
31,5,Agra,Agra,Potato,Other,FAQ,250,325,310,23 Jan 2011
32,6,Agra,Agra,Potato,Other,FAQ,300,350,320,22 Jan 2011
33,7,Agra,Agra,Potato,Other,FAQ,275,350,300,21 Jan 2011
34,8,Agra,Agra,Potato,Other,FAQ,325,400,350,20 Jan 2011
35,9,Agra,Agra,Potato,Other,FAQ,300,375,360,19 Jan 2011
36,10,Agra,Agra,Potato,Other,FAQ,325,400,365,18 Jan 2011
37,11,Agra,Agra,Potato,Other,FAQ,325,400,365,17 Jan 2011
38,12,Agra,Agra,Potato,Other,FAQ,325,400,350,15 Jan 2011
39,13,Agra,Agra,Potato,Other,FAQ,350,400,365,14 Jan 2011
40,14,Agra,Agra,Potato,Other,FAQ,325,400,360,13 Jan 2011
41,15,Agra,Agra,Potato,Other,FAQ,325,400,360,12 Jan 2011
